Input X^n%m                 Result         O(n) sec     O(log n) sec 
838178^900888 % 312055      228786         0.01926076    0.00000205
953884^649708 % 291225      256096         0.01399010    0.00000205
296528^314020 % 688446      242122         0.00658802    0.00000205
414861^110424 % 477234      333207         0.00249144    0.00000164
217168^637067 % 773128      537864         0.01342728    0.00000205
913863^307188 % 143853      47202          0.00628793    0.00000164
576035^830105 % 823068      635291         0.01773322    0.00000205
749078^444195 % 658920      408632         0.00965173    0.00000205
562058^303420 % 69527       48411          0.00641314    0.00000205
967080^605304 % 838988      501616         0.01301265    0.00000205
497728^121792 % 732200      373016         0.00278127    0.00000164
945920^138319 % 655775      614825         0.00296477    0.00000164
790869^841524 % 757525      154596         0.01826279    0.00000246
357105^676562 % 254347      73736          0.01428157    0.00000164
78896^328101 % 582876       482264         0.00686758    0.00000164
313440^142510 % 154471      102725         0.00293604    0.00000164
137671^437773 % 728697      75025          0.00937463    0.00000164
367970^305385 % 90102       83096          0.00645337    0.00000164
183368^354894 % 925751      334508         0.00768821    0.00000164
590974^320385 % 750614      162480         0.00671405    0.00000205
170582^434710 % 931138      669002         0.00918702    0.00000205
199309^780539 % 361361      303600         0.01636454    0.00000205
479954^344034 % 941820      232336         0.00746776    0.00000205
913327^130092 % 986497      953107         0.00274063    0.00000164
309584^85637 % 287972       207884         0.00205876    0.00000164
410231^489361 % 528565      72291          0.01044116    0.00000205
522596^932298 % 253877      2042           0.02002515    0.00000164
546517^243616 % 850043      196616         0.00513396    0.00000164
848896^355765 % 287065      52466          0.00758230    0.00000246
296944^586321 % 457577      51502          0.01242232    0.00000205
375972^332177 % 349116      134496         0.00690699    0.00000164
679955^288931 % 991427      355714         0.00608349    0.00000246
440440^408365 % 800772      61936          0.00875515    0.00000205
950112^673971 % 466309      86662          0.01429306    0.00000164
704064^266100 % 699421      18125          0.00574194    0.00000205
114478^728659 % 825321      322987         0.01541748    0.00000205
678445^209716 % 933712      419953         0.00434412    0.00000164
801047^731684 % 464788      410661         0.01614615    0.00000164
186383^541050 % 881204      243693         0.01133609    0.00000246
423535^342942 % 594105      223405         0.00727646    0.00000205
977632^694005 % 60912       8704           0.01486533    0.00000205
